category_1,category_2,category_3,ofns_desc,law_cat_cd,pd_desc
Property,Arson,Arson,ARSON,FELONY,ARSON 1
Property,Arson,Arson,ARSON,FELONY,"ARSON 2,3,4"
Property,Arson,Arson,ARSON,FELONY,"ARSON, MOTOR VEHICLE 1 2 3 & 4"
Property,Other Property Crime,Other Property Crime,CRIMINAL MISCHIEF & RELATED OF,FELONY,CRIMINAL MIS 2 & 3
Property,Other Property Crime,Other Property Crime,CRIMINAL MISCHIEF & RELATED OF,FELONY,"MISCHIEF 1,CRIMINAL,EXPLOSIVE"
Property,Other Property Crime,Other Property Crime,CRIMINAL MISCHIEF & RELATED OF,FELONY,"MISCHIEF, CRIMINAL 3 & 2, OF M"
Property,Other Property Crime,Other Property Crime,CRIMINAL MISCHIEF & RELATED OF,FELONY,"MISCHIEF, CRIMINAL 3&2, BY FIR"
Property,Other Property Crime,Other Property Crime,CRIMINAL MISCHIEF & RELATED OF,FELONY,"MISCHIEF,CRIMINAL, UNCL 2ND"
Property,Other Property Crime,Other Property Crime,CRIMINAL MISCHIEF & RELATED OF,FELONY,"TAMPERING 1,CRIMINAL"
Property,Other Property Crime,Other Property Crime,MISCELLANEOUS PENAL LAW,FELONY,"TRESPASS 1,CRIMINAL"
Property,Other Property Crime,Other Property Crime,MISCELLANEOUS PENAL LAW,VIOLATION,"TRESPASS 4,CRIMINAL SUB 2"
Property,Other Property Crime,Other Property Crime,CRIMINAL TRESPASS,MISDEMEANOR,"TRESPASS 3, CRIMINAL"
Property,Other Property Crime,Other Property Crime,POSSESSION OF STOLEN PROPERTY,FELONY,"STOLEN PROPERTY 2,1,POSSESSION"
Property,Other Property Crime,Other Property Crime,POSSESSION OF STOLEN PROPERTY,FELONY,"STOLEN PROPERTY 2,POSSESSION B"
Property,Other Property Crime,Other Property Crime,POSSESSION OF STOLEN PROPERTY,FELONY,"STOLEN PROPERTY-MOTOR VEH 2ND,"
Drug,Drug,Drug,DANGEROUS DRUGS,FELONY,"CONTROLLED SUBSTANCE, INTENT T"
Drug,Drug,Drug,DANGEROUS DRUGS,FELONY,"CONTROLLED SUBSTANCE, POSSESSI"
Drug,Drug,Drug,DANGEROUS DRUGS,FELONY,"CONTROLLED SUBSTANCE, SALE 4"
Drug,Drug,Drug,DANGEROUS DRUGS,FELONY,"CONTROLLED SUBSTANCE, SALE 5"
Drug,Drug,Drug,DANGEROUS DRUGS,FELONY,"CONTROLLED SUBSTANCE,INTENT TO"
Drug,Drug,Drug,DANGEROUS DRUGS,FELONY,"CONTROLLED SUBSTANCE,POSSESS."
Drug,Drug,Drug,DANGEROUS DRUGS,FELONY,"CONTROLLED SUBSTANCE,POSSESS.-"
